,basin_id,discharge_coverage,unique_discharge_count
112,02DC004,1.0,963
113,02DC005,0.0,1
114,02DC006,0.0,1
115,02DC007,0.0,1
116,02DC008,0.0,1
117,02DC009,0.0,1
118,02DC011,0.9562587546160702,1
119,02DC012,0.8604355023557876,1287
120,02DC013,0.3255443779447345,1600
121,02DD001,0.0,1
122,02DD002,0.0,1
123,02DD004,0.0,1
124,02DD005,0.0,1
125,02DD007,0.0,1
126,02DD008,0.0,1
127,02DD009,0.0,1
128,02DD010,1.0,927
129,02DD012,1.0,1773
130,02DD013,1.0,1502
131,02DD014,1.0,1127
132,02DD015,1.0,1450
133,02DD016,1.0,499
134,02DD017,1.0,1137
135,02DD019,0.0,1
136,02DD020,0.953457277473577,1007
137,02DD024,0.3488475741754743,1432
138,02DD026,0.3255443779447345,917
139,02DD029,0.0464790525913663,391
140,02DD030,0.0464790525913663,378
141,02DD031,0.0464790525913663,464
142,02EA001,0.0,1
143,02EA005,1.0,1365
144,02EA006,0.0,1
145,02EA007,0.0,1
146,02EA008,0.0,1
147,02EA009,0.0,1
148,02EA010,1.0,1385
149,02EA011,1.0,1391
150,02EA012,0.0,1
151,02EA018,0.4700751305233668,1241
152,02EA021,0.3536864892397809,1393
153,02EB002,0.0,1
154,02EB003,0.0,1
155,02EB004,1.0,1234
156,02EB005,0.0,1
157,02EB006,1.0,1175
158,02EB007,0.0,1
159,02EB008,1.0,1123
160,02EB009,0.0,1
161,02EB010,0.0,1
162,02EB011,1.0,1571
163,02EB012,1.0,1040
164,02EB013,1.0,1331
165,02EB014,0.961288679485547,1253
166,02EB103,0.0,1
167,02EB104,0.0,1
168,02EB105,0.0,1
169,02EC001,0.0,1
170,02EC002,1.0,1477
171,02EC003,1.0,1123
172,02EC004,0.99980899019483,1
173,02EC006,0.0,1
174,02EC007,0.0,1
175,02EC008,0.917993123647014,1320
176,02EC009,1.0,1245
177,02EC010,1.0,876
178,02EC011,1.0,1498
179,02EC012,0.0,1
180,02EC014,0.7209346746466319,1
181,02EC018,0.8318477015153445,846
182,02EC019,0.3953266267668407,1457
183,02EC020,0.3895963326117407,1025
184,02EC021,0.3895963326117407,758
185,02EC022,0.1968037692601553,1458
186,02EC101,0.0,1
187,02EC103,0.0,1
188,02EC918,0.697631478415892,1
189,02ED001,0.0,1
190,02ED003,1.0,1168
191,02ED004,0.0,1
192,02ED005,0.0,1
193,02ED007,1.0,632
194,02ED009,0.0,1
195,02ED010,0.0,1
196,02ED011,0.0,1
197,02ED013,0.8371959760601044,1293
198,02ED014,1.0,556
199,02ED015,0.8041512797656947,1235
200,02ED016,0.8028142111295047,1
201,02ED017,0.802941550999618,1079
202,02ED018,0.8030688908697313,1
203,02ED019,0.8038966000254679,1
204,02ED024,0.800267413727238,1379
205,02ED025,0.7809754234050681,1
206,02ED026,0.7733987011333249,1029
207,02ED027,0.691137145040112,995
208,02ED028,0.5443142747994397,1
209,02ED029,0.5348911244110531,1987
210,02ED030,0.3953266267668407,495
211,02ED031,0.3895963326117407,1713
212,02ED032,0.3895963326117407,1177
213,02ED100,1.0,1248
214,02ED101,0.6046097032981026,867
215,02ED102,1.0,1214
216,02FA001,1.0,1292
217,02FA002,1.0,1372
218,02FA004,0.8371959760601044,1647
219,02FB001,0.0,1
220,02FB003,0.0,1
221,02FB004,0.0,1
222,02FB005,0.0,1
223,02FB006,0.0,1
224,02FB007,1.0,1259
225,02FB008,0.0,1
226,02FB009,1.0,1069
227,02FB010,1.0,1449
228,02FB012,0.3895963326117407,1305
229,02FB013,0.3895963326117407,866
230,02FB014,0.3895963326117407,1113
231,02FC001,1.0,1113
232,02FC002,1.0,1158
233,02FC004,0.0,1
234,02FC005,0.0,1
235,02FC009,0.0,1
236,02FC011,1.0,1435
237,02FC012,1.0,1380
238,02FC013,0.0,1
239,02FC014,0.0,1
240,02FC015,1.0,1323
241,02FC016,1.0,1496
242,02FC017,0.8621545906023176,1165
243,02FC018,0.8389787342416911,1
244,02FC019,0.697631478415892,1
245,02FC020,0.3895963326117407,1326
246,02FC021,0.3895963326117407,912
247,02FD001,1.0,1451
248,02FD002,1.0,1281
249,02FD003,0.4686743919521202,1413
250,02FE001,0.0,1
251,02FE002,1.0,1587
252,02FE003,1.0,1352
253,02FE004,0.0,1
254,02FE005,1.0,1513
255,02FE007,1.0,1609
256,02FE008,1.0,1758
257,02FE009,1.0,1698
258,02FE010,0.4736406468865402,1466
259,02FE011,0.9635171272125302,1473
260,02FE013,0.9112441105310072,1769
261,02FE014,0.8858398064433974,1405
262,02FE015,0.7906532535336814,1559
263,02FE016,0.3953266267668407,1591
264,02FE017,0.3895963326117407,1239
265,02FE018,0.1105310072583726,562
266,02FF001,0.0,1
267,02FF002,1.0,1799
268,02FF003,0.0,1
269,02FF004,1.0,967
270,02FF005,0.0,1
271,02FF006,0.0,1
272,02FF007,1.0,1761
273,02FF008,1.0,1430
274,02FF009,0.8916974404686108,1497
275,02FF011,0.4722399083152935,821
276,02FF012,0.4682287024067235,1
277,02FF013,0.3895963326117407,1502
278,02FF014,0.3953266267668407,1089
279,02FF015,0.3953266267668407,843
280,02FF016,0.1338978734241691,748
281,02GA001,0.0,1
282,02GA002,0.0,1
283,02GA003,1.0,925
284,02GA004,0.0,1
285,02GA005,0.3895963326117407,2090
286,02GA006,0.4712848592894435,1169
287,02GA007,0.0,1
288,02GA008,0.0,1
289,02GA009,0.0,1
290,02GA010,1.0,1229
291,02GA011,0.0,1
292,02GA012,0.0,1
293,02GA013,0.0,1
294,02GA014,1.0,1634
295,02GA015,1.0,1047
