basin_id,mean_discharge,median_discharge,discharge_coverage,area,mean_discharge_area_ratio,median_discharge_area_ratio
02EA006,11.250056298691755,8.3,0.42330906601953827,636.0121725722544,0.017688429221712244,0.013050064696768168
02EA007,,,0.0,2831.0545765831785,,
02EA008,,,0.0,1843.5413686039888,,
02EA009,,,0.0,13.563567308284409,,
02EA010,2.850929672078956,1.57,0.977226059361583,155.8946721089466,0.01828753756309639,0.010070902223668103
02EA011,45.401478669739056,34.1,0.9991288656586398,2831.144458750285,0.016036440150348257,0.01204459910005875
02EA012,,,0.0,231.08987234509212,,
02EA018,7.480401522973671,5.18,0.48211063406135274,400.7276428929597,0.018667046448232666,0.012926485337033899
02EA021,1.5416473046741728,0.9715,0.36475639350382677,71.28528516787115,0.021626445079706375,0.013628338551388203
02EB002,,,0.0,1660.2959142970276,,
02EB003,,,0.0,1654.1212314470115,,
02EB004,26.743278887436997,20.0,1.0,1410.0143900029366,0.018966670891480263,0.014184252403238486
02EB005,,,0.0,4696.274466946646,,
02EB006,86.65342698826598,80.3,0.9545143426046917,4697.251679401184,0.018447686626685656,0.017095102728290856
02EB007,,,0.0,1462.4643467210635,,
02EB008,25.70313137316234,23.0,0.9946487461887873,1404.351609972419,0.018302490053518108,0.01637766485022345
02EB009,,,0.0,4698.088573829794,,
02EB010,,,0.0,8.863156160219113,,
02EB011,25.521085835305843,4.73,0.9989421940140626,4778.821380599586,0.005340456108887623,0.0009897838030109717
02EB012,61.1760492119853,73.0,0.9988799701325368,32.02880658541053,1.9100321158969333,2.27919825252722
02EB013,11.896549810217161,7.46,1.0,609.0256581554063,0.019533741560657687,0.012249073417685823
02EB014,10.920174739701222,7.96,0.9621678800323564,601.4448297434109,0.018156569313863752,0.013234796620324934
02EB103,,,0.0,127.59540988830308,,
02EB104,,,0.0,51.61186180922296,,
02EB105,,,0.0,144.66836069902936,,
02EC001,,,0.0,5323.353540176649,,
02EC002,23.92924964221268,16.5,1.0,1506.360187946414,0.015885476683259184,0.010953555552005173
02EC003,59.33404224801147,51.7,0.9543898948416403,5809.310682945059,0.010213611474112413,0.00889950681270681
02EC004,32.25078557312253,27.6,0.5667351129363449,3700.0350656544974,0.008716345926688589,0.0074593887653110254
02EC006,12.201881125439625,11.6,0.26538485470723666,3695.551441139731,0.003301775477836804,0.0031389090869812074
02EC007,5.324930992141454,4.27,0.2533756455727708,3699.546753892444,0.0014393468568923685,0.0011541954417814448
02EC008,3.0635732598254752,1.6301080887616322,0.9198556405948604,277.6427033865338,0.011034229325884255,0.005871244116551472
02EC009,1.3962429220334762,0.791,1.0,176.18151690132794,0.0079250249775943,0.004489687760169569
02EC010,0.33643578495426546,0.159,1.0,43.871091303661984,0.0076687352640845445,0.003624254498240121
02EC011,2.2822273038392136,0.846,1.0,294.0946589776228,0.007760179364606769,0.0028766248354900274
02EC012,3.0613229813664598,1.69,0.0801443594051397,317.96617985888463,0.009627825772933127,0.00531503067637581
02EC014,54.1398841373499,47.9,0.2953767656026383,5291.4121219835015,0.01023165137949138,0.009052403951110982
02EC018,3.1424780342516754,2.3,0.8356667288905482,349.13408260655586,0.009000777038983554,0.006587726935247116
02EC019,6.404115911165196,4.245,0.40905979715014623,354.130368209451,0.018084063062836428,0.011987110909079925
02EC020,0.5215741826033313,0.316,0.40345964781283056,39.634525115528255,0.013159592074915155,0.007972846882330768
02EC021,0.5980996240601503,0.515,0.3806857071744135,41.12907536867105,0.014542014832546813,0.012521555502613782
02EC022,3.6723249421296296,2.7492527472527475,0.21504573455292142,235.36019287909625,0.015602999373883462,0.011681043908155827
02EC101,0.38277169171110037,0.344,0.12836786758758012,23.138497593730342,0.01654263377129624,0.014866998110249429
02EC103,3.6334874804381845,2.56,0.1590442411797648,349.14036767063163,0.010406953239695003,0.007332294506875887
02EC918,55.146446016891126,49.508648648648645,0.2726028249642213,5335.860997201927,0.010335060460872085,0.009278474209618746
02ED001,,,0.0,1103.5493745904162,,
02ED003,10.368387654781905,6.57,1.0,1227.6707396004529,0.008445576912712208,0.00535159777623943
02ED004,,,0.0,213.78458303435065,,
02ED005,4.360582352941178,2.88,0.17982701760935846,306.66845593440013,0.014219207318388024,0.009391249553935423
02ED007,2.3538891792670027,1.78,1.0,167.34858462655637,0.014065784807919233,0.010636480756452921
02ED009,0.9072916078984485,0.352,0.3529338560139382,98.19679818999816,0.009239523330923234,0.0035846382620228134
02ED010,1.2239515431638586,0.716,0.41733557339306826,127.93278782237324,0.009567145092337389,0.005596688794073038
02ED011,2.086146322378717,1.29,0.1590442411797648,169.5230386312429,0.012305975277594172,0.007609585165625119
02ED013,1.4437085984904543,0.859,0.8408935349387094,122.85775180915398,0.011751058254208469,0.0069918258095293985
02ED014,2.1316866720935397,1.71,0.8408313110571838,189.05682682004263,0.011275375282388646,0.009044899508589003
02ED015,3.6217098884186223,2.23,0.8085993404268558,244.23704114062144,0.014828667557978618,0.009130474188458824
02ED016,0.15592027027027025,0.042,0.11511418082259971,52.353591960372576,0.002978215332164587,0.0008022372186380373
02ED017,0.5556435727496918,0.315,0.8074170866778669,59.07445234855715,0.009405818431819334,0.005332254256736984
02ED018,1.2975448857453753,1.01,0.22873498848858193,94.83633054324164,0.013681938960657548,0.01064992702917243
