basin_id,NSE
04085427,-0.66531336779036
04086000,-0.7942423341177258
04086500,-0.6545649488520775
04086600,-1.0418466659901506
04087000,-1.0551996873097997
04087030,-0.19066296989589904
04087050,-0.7664625736423687
04087070,0.06802597593394077
04087088,0.06907929374044808
04087119,-0.13945397453780917
04087120,-0.4073769987962468
040871488,-0.005648290120644939
04087159,0.032799821064740664
04087204,2.0965015225637984e-05
04087214,0.0913757542314122
04087220,-0.14825574342533376
04087240,-0.3082629619755546
04087257,-0.08454597219725346
04093000,-0.4873412604257821
04094000,-0.5854336376932354
04094500,
04095300,-0.779066973217166
04095380,-0.8133312731670583
04096015,-0.5633927252999249
04096100,
04096400,
04096405,-1.7545713633731959
04096515,-0.5015719882404526
04096600,
04096900,
04097500,-2.4758530572418995
04097540,-2.2838030285306887
04099000,-3.0383608153898134
04099510,-1.049214212068696
04099750,-1.7394777103692993
04099808,
04099850,
04100222,-1.4246765838193198
04100252,
04100295,
04100500,-1.7083839563349845
04101000,-3.260938997714802
04101370,-0.2605031786679082
04101500,-3.465475804578279
04101800,-5.059917697934178
04102500,-3.4180596972313033
04102700,-0.9296764872858032
04102776,-10.336084654341315
04103010,
04103500,-4.430598175282819
04104945,-0.5498551189367071
04105000,-1.1198973515273205
04105500,-2.4717092469338198
04105700,-2.886374347030556
04106000,-3.857455750195725
04106180,
04106300,
04106320,0.028516815704079823
04106400,0.11310477331210089
04106500,-9.920843207669087
04108500,
04108600,-0.6343475621273851
04108670,
04108800,-0.20721144911327394
04108801,
04109000,-1.9588443214250533
04111000,-1.81095962434495
04111379,-0.7558206134763954
04111500,
04112000,-0.3718986627470029
04112500,-0.6979771712472005
04113000,-1.3592607547603182
04114000,-1.3098892930940949
04114498,-1.2077292757778966
04114500,
04115000,-0.5231232188693016
04115265,-0.8864342437774133
04116000,-1.1733038678807808
04116500,
04117000,-3.2144612411462123
04117500,-0.9778164134727814
04118000,
04118500,-2.0400313969787143
04119000,-1.8301086169303606
04121300,-3.190455693573414
04121500,-2.0583426995774454
04121900,
04121944,-2.4198230712049065
04121970,-3.1910546532923663
04122000,
04122100,0.09996696633960733
04122200,-3.8026397707293187
04122500,-5.5284701691226985
04123500,-70.07240796865362
04124000,-15.990646760718985
04124200,-17.881327633659158
04124500,-0.5241904073838957
04125460,-5.8690527730775885
04125500,
04125550,-17.492432478940366
04126000,
04126740,-30.25227214214402
04126970,-8.655089825845785
04127000,
04127800,-20.53015492693494
04127918,
04127997,-10.65927221346258
04128000,
04128990,-4.455029887380396
04129000,
04129500,
04130000,
04130500,
04133500,
04133501,-2.088707230863274
04134000,
04135500,
04135600,
04135700,-3.6473338491168725
04136000,-9.141126724660806
04136500,-9.360177742619591
04136900,-11.312615300866913
04137005,-11.479623608816812
04137500,-8.881453793716751
04138500,
04140500,
04142000,-1.1828848619832324
04143500,
04143900,
04144000,
04145000,-1.0831215511506578
04146000,-0.4543937322888749
04146063,-1.0772555954720024
04147500,-0.8178784605208169
04148140,-0.6479089799409421
04148500,-0.8437739977025669
04149000,-11.848902207760936
04150000,
04150500,-0.08869767642923354
04150800,
04151500,-0.42483071041655074
04152238,-0.8425540701111902
04152500,-1.1598405731943213
04153500,-0.25500152135459286
04154000,-1.83410496053197
04155000,
04155500,-0.985034039819078
04156000,-0.7040439870245785
04158500,
04159492,-0.21914417052778923
04159500,
04159900,-0.27127620874221314
04160600,-0.3286441646404945
04160800,
04160900,
04161000,-2.7421506237470856
04161100,
04161500,
04161540,-1.2758367241236312
04161580,0.13512058047469322
04161800,-1.4514085970170294
04161820,-2.116619005510236
04162900,
04163400,0.0951490366298211
04164000,-1.188027048886243
04164100,0.13585927296338562
04164300,0.03241797750888131
04164500,-0.34371737887655307
04165500,-0.8992368461477247
04166000,-0.1551822526015727
04166100,-0.5408677192234557
04166300,0.08536531455555751
04166500,-0.5157207240929753
04167000,-0.6688955606016402
04168000,-0.6942004260571426
04168580,-0.14735997244135968
04170000,-3.7053226210499988
04170500,-6.065522327566564
04172000,-3.2317773761296644
04173500,-0.8769075966027509
04174500,-2.0861747415903835
04174518,-0.09742875457285138
04175600,-1.6725608173599498
04176000,-0.9742468568552904
04176500,-0.636313182029911
04176605,
04177000,-0.2988577033450912
04177720,-0.10705583315605338
04178000,-0.5636326169247836
04179000,
04179520,-0.37775302679991296
04180000,-0.42820307762494303
04180500,-0.6344780936796015
04180988,-0.27889347880382176
04181500,-0.3329756593331723
04182000,-0.3451223653486575
04182950,-0.5474373562244055
04183000,-0.5429272540639811
04183500,-0.7614770575058474
04184500,-0.3972071526078029
04185000,-0.4799078877437002
04185440,-1.8497128479270408
04186500,-0.19481627317734485
04187500,
04188337,-0.14273782621340247
04188400,-0.16736220191895024
04188433,0.06578352697793022
04188496,-0.0791048218449022
04189000,-0.21267922357914748
04192500,-0.4438016443570887
04193500,-0.4525009629155874
04195500,-0.1999073485570646
04195820,-0.22903611710201965
04196000,-0.15042102794284395
04196500,-0.21831502007092052
04196800,-0.19127421460729033
04197000,
04197100,-0.23644132111907235
04197170,-0.0255970211287484
04198000,-0.2971530953461192
04199000,-0.19213580302633693
04199155,0.04583309143720393
04199500,-0.2025197683160147
04200500,-0.21069958896587915
04201500,-0.22775926175345385
04202000,-1.1640347129425952
04206000,-1.1959586037361807
04206043,-0.09051059435673525
04206212,-0.9136148296077937
04206220,-0.15389137315916246
04207200,-0.6211648558144298
04208000,-1.0465853948046973
04208460,0.022248815273042344
04208504,-1.1835766586527594
04209000,-0.4708706192917811
04212100,-0.6040743156654098
04212500,
04213000,-0.39594749077964053
04213040,
