basin_id,discharge_coverage
02GA001,0.0
02GA002,0.0
02GA003,1.0
02GA004,0.0
02GA005,0.38959633261174076
02GA006,0.4712848592894435
02GA007,0.0
02GA008,0.0
02GA009,0.0
02GA010,1.0
02GA011,0.0
02GA012,0.0
02GA013,0.0
02GA014,1.0
02GA015,1.0
02GA016,1.0
02GA017,0.0
02GA018,1.0
02GA020,0.0
02GA022,0.0
02GA023,1.0
02GA024,1.0
02GA027,0.0
02GA028,1.0
02GA029,1.0
02GA030,1.0
02GA031,1.0
02GA033,1.0
02GA034,1.0
02GA035,1.0
02GA036,1.0
02GA037,1.0
02GA038,1.0
02GA039,1.0
02GA040,1.0
02GA041,0.8907423914427607
02GA042,0.7714249331465682
02GA043,0.6900547561441487
02GA045,0.5672991213548962
02GA047,0.4713485292245002
02GA048,0.3862854959887941
02GA049,0.15701005984973895
02GA050,0.10989430790780594
02GB001,1.0
02GB002,0.0
02GB003,0.0
02GB004,0.0
02GB005,0.0
02GB006,1.0
02GB007,1.0
02GB008,1.0
02GB009,1.0
02GB010,1.0
02GB011,0.0
02GC001,0.0
02GC002,1.0
02GC004,0.0
02GC005,0.0
02GC006,1.0
02GC007,1.0
02GC008,1.0
02GC009,0.0
02GC010,1.0
02GC011,0.39106074111804406
02GC012,1.0
02GC013,1.0
02GC014,0.46880173182223356
02GC015,1.0
02GC016,0.0
02GC017,1.0
02GC018,1.0
02GC021,1.0
02GC022,1.0
02GC023,0.0
02GC024,0.0
02GC025,0.0
02GC026,1.0
02GC029,0.8643193683942443
02GC030,0.8371959760601044
02GC031,0.8145294791799312
02GC033,0.8005857634025213
02GC034,0.7634025213294282
02GC035,0.763657201069655
02GC036,0.34884757417547435
02GC037,0.17006239653635552
02GC038,0.1570737297847956
02GD001,1.0
02GD003,1.0
02GD004,1.0
02GD005,1.0
02GD006,0.0
02GD007,0.0
02GD008,1.0
02GD009,1.0
02GD010,1.0
02GD011,1.0
02GD012,1.0
02GD013,1.0
02GD014,1.0
02GD015,1.0
02GD016,1.0
02GD018,1.0
02GD019,1.0
02GD020,1.0
02GD021,1.0
02GD022,0.8371959760601044
